RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED,Alpha,Beta
117,Northern Iowa,MVC,32,20,108.6,103.7,0.6291,55.5,51.5,15.9,17.4,25.6,25.2,35.2,28.3,55.3,49.9,37.2,36.0,35.9,40.9,65.0,-6.60,N/A,0.5040672469287114,0.4959327530712886
118,Washington,B10,31,13,109.2,104.5,0.6260,50.6,53.0,17.5,16.7,27.5,28.5,34.5,36.2,50.1,53.3,34.4,35.1,35.7,35.4,67.6,-5.60,N/A,0.5035234532272357,0.49647654677276426
119,Northern Colorado,BSky,34,25,111.8,106.9,0.6258,57.3,52.1,15.7,15.5,25.2,22.2,33.4,35.4,58.9,51.8,36.5,35.2,38.1,34.1,68.7,-4.10,N/A,0.5037293800872767,0.4962706199127232
120,Middle Tennessee,CUSA,33,22,108.5,103.8,0.6233,50.8,48.5,16.6,16.1,30.7,29.0,32.3,31.0,52.9,49.2,31.7,31.6,39.5,35.5,68.3,-4.30,N/A,0.5035960021353579,0.49640399786464195
121,California,ACC,33,14,110.0,105.7,0.6142,47.8,53.0,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,37.8,32.8,67.5,-8.00,N/A,0.5024938611245908,0.4975061388754091
122,North Dakota St.,Sum,32,21,115.5,111.2,0.6085,58.2,51.4,15.6,11.1,26.2,29.0,32.6,27.1,56.5,51.3,39.8,34.3,53.6,39.1,65.0,-6.40,N/A,0.5020100397842071,0.49798996021579284
123,Duquesne,A10,32,13,106.4,102.7,0.6006,50.0,50.2,18.3,20.0,32.9,30.7,30.0,39.5,49.2,48.1,34.0,35.9,43.2,35.9,65.0,-12.80,N/A,0.5013733751154515,0.4986266248845484
124,Kennesaw St.,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,45.5,38.4,70.1,-7.20,N/A,0.5013145143923624,0.49868548560763765
125,Cornell,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,48.6,39.1,70.7,-7.20,N/A,0.5011733238778738,0.4988266761221262
126,nebraska-omaha,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,38.6,44.5,67.7,-6.50,15,0.501138737628001,0.498861262371999
127,Kent St.,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,35.7,28.3,30.0,39.2,50.4,49.4,30.5,31.3,37.7,41.7,65.8,-5.90,N/A,0.5007145700259672,0.49928542997403286
128,Cal St. Northridge,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,35.4,24.1,35.8,45.1,51.5,46.4,35.0,35.6,30.8,50.8,72.2,-4.90,N/A,0.500304990716706,0.49969500928329413
129,South Dakota St.,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,33.6,21.4,31.2,29.9,54.5,52.3,34.8,32.9,40.0,47.8,69.0,-6.20,N/A,0.5001609611639313,0.4998390388360687
130,Belmont,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27.0,52.9,54.6,38.1,35.1,44.6,43.4,70.6,-5.50,N/A,0.500238874142249,0.499761125857751
131,Illinois St.,MVC,33,19,112.1,108.8,0.5829,56.0,53.8,15.8,16.7,24.6,24.9,30.7,31.4,56.6,53.5,36.9,36.1,47.5,43.3,65.6,-8.20,N/A,0.49999501249014966,0.5000049875098503
132,Jacksonville St.,CUSA,34,22,108.0,105.1,0.5782,49.6,49.4,15.7,13.3,30.9,26.5,32.2,28.0,49.1,47.7,33.5,34.5,36.4,42.5,64.6,-5.40,N/A,0.4993297512878746,0.5006702487121254
133,montana,BSky,34,25,112.0,109.0,0.5779,56.4,52.2,16.2,15.5,22.6,29.0,36.2,31.9,57.3,53.1,36.5,33.7,36.8,35.0,67.0,-3.10,14,0.4993127612753442,0.5006872387246558
134,Louisiana Tech,CUSA,32,20,107.7,105.0,0.5728,52.5,47.8,18.9,14.7,29.3,28.7,35.0,32.0,53.5,48.8,34.1,30.8,41.4,38.9,64.4,-6.40,N/A,0.49887232398930925,0.5011276760106906
135,Chattanooga,SC,33,24,114.0,111.2,0.5725,56.5,51.2,15.4,16.2,25.8,29.9,31.5,33.8,57.5,50.0,36.8,35.4,45.3,41.0,66.5,-4.10,N/A,0.49874203287487423,0.5012579671251258
136,South Alabama,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,28.3,32.2,33.6,24.4,53.6,46.9,31.7,33.1,45.6,59.3,63.1,-6.50,N/A,0.49848619715011794,0.5015138028498821
137,Samford,SC,32,22,110.4,108.0,0.5635,54.6,53.2,18.3,21.8,34.6,33.5,29.3,41.8,54.0,53.8,36.9,35.0,46.7,43.8,70.8,-4.90,N/A,0.49801975060964015,0.5019802493903599
138,Tulane,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,27.2,32.4,35.1,32.8,52.9,48.3,33.9,32.3,39.4,43.1,66.7,-8.70,N/A,0.49788653700963154,0.5021134629903685
139,Seattle,WAC,32,14,103.0,101.0,0.5584,46.5,51.2,17.0,20.9,29.9,27.0,42.3,36.7,46.3,53.3,31.3,31.9,36.3,38.6,65.9,-12.10,N/A,0.497427154131597,0.502572845868403
140,Wichita St.,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,31.9,28.4,35.2,28.3,50.1,49.9,30.2,33.3,28.4,38.3,68.6,-7.30,N/A,0.4975371345422421,0.502462865457758
141,Furman,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17.0,16.5,30.0,31.0,35.4,29.0,53.2,49.2,36.0,32.9,51.4,38.6,65.8,-4.40,N/A,0.4969131562132681,0.503086843786732
142,Davidson,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,42.1,39.9,65.7,-9.20,N/A,0.4969091062262337,0.5030908937737664
143,UTEP,CUSA,33,18,105.8,104.0,0.5501,49.3,52.4,16.6,22.0,25.4,32.4,37.0,40.0,47.7,54.0,34.6,33.4,36.2,41.2,68.4,-8.40,N/A,0.49681496172853207,0.5031850382714679
144,Virginia Tech,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1,16.2,31.0,29.2,30.8,31.8,50.3,54.6,35.0,32.6,40.4,41.2,65.1,-9.20,N/A,0.4967865246403702,0.5032134753596298
145,wofford,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9,14.9,35.5,26.2,31.1,36.2,54.6,51.8,34.5,34.5,47.7,45.8,63.9,-9.70,15,0.496593872171491,0.503406127828509
146,Miami OH,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4,19.1,27.5,29.0,28.1,33.3,53.9,51.9,38.2,33.6,44.0,39.9,68.8,-4.60,N/A,0.49579313324144736,0.5042068667585525
147,UC Santa Barbara,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2,17.2,27.5,29.2,29.7,32.0,52.4,50.5,38.1,30.8,47.4,36.9,65.2,-7.90,N/A,0.4957659009126828,0.5042340990873172
148,Loyola Marymount,WCC,32,17,104.2,103.1,0.5300,50.2,48.5,15.2,15.7,22.8,30.9,29.0,28.9,50.6,49.0,33.1,31.8,40.4,36.6,67.0,-6.90,N/A,0.49517834761900786,0.5048216523809921
149,robert-morris,Horz,34,26,105.9,105.0,0.5238,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30.0,50.7,49.8,34.9,34.2,36.8,35.6,67.9,-4.30,15,0.49465894235418423,0.5053410576458158
150,Texas A&M Corpus Chris,Slnd,34,20,105.8,105.0,0.5237,52.8,49.9,17.8,18.3,31.9,30.7,36.7,40.4,53.0,48.4,34.7,35.0,29.2,36.7,67.4,-8.50,N/A,0.49442278721787336,0.5055772127821266
151,UC Riverside,BW,33,21,109.9,109.0,0.5225,49.5,51.4,15.8,15.8,32.2,28.9,28.7,33.4,49.0,51.4,33.5,34.4,42.3,38.8,67.0,-4.70,N/A,0.494580970565569,0.505419029434431
152,San Jose St.,MWC,34,15,106.9,106.1,0.5220,50.6,51.9,17.4,16.6,26.9,32.2,31.5,28.6,49.1,53.9,35.1,32.0,41.2,35.2,66.2,-10.20,N/A,0.49440319045110637,0.5055968095488937
153,bryant,AE,34,23,105.8,105.3,0.5112,51.0,47.7,16.5,16.4,34.2,28.8,30.4,30.0,51.5,47.3,33.4,32.2,34.8,36.0,72.3,-7.10,15,0.4937096205496413,0.5062903794503586
154,Radford,BSth,33,20,109.8,109.3,0.5108,51.1,51.0,17.7,16.5,33.8,30.0,41.3,37.0,49.9,49.3,35.6,35.8,36.3,40.1,62.9,-7.30,N/A,0.49366638584304184,0.5063336141569581
155,Sam Houston St.,CUSA,32,13,110.3,109.9,0.5102,51.0,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,38.6,41.2,67.7,-11.70,N/A,0.4934336573210237,0.5065663426789764
156,Cal Baptist,WAC,32,17,105.0,104.6,0.5098,48.3,50.1,17.7,18.1,33.3,29.6,29.7,33.4,48.6,50.3,31.7,33.2,35.0,31.3,65.8,-9.60,N/A,0.49347958287348814,0.5065204171265119
157,Temple,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7,15.1,32.0,31.2,45.2,36.4,48.2,51.0,35.8,33.3,31.3,36.4,68.7,-9.60,N/A,0.4927518681303025,0.5072481318696974
158,James Madison,SB,32,20,110.0,110.0,0.5013,50.7,50.9,15.8,15.6,32.0,30.5,30.4,33.4,50.0,49.6,34.3,35.5,45.2,35.1,64.9,-7.40,N/A,0.49252557041699446,0.5074744295830055
159,Western Kentucky,CUSA,32,17,103.1,103.1,0.5010,47.9,47.4,15.5,17.0,23.5,28.1,32.1,40.6,48.0,48.7,31.7,30.5,39.7,44.1,71.8,-8.30,N/A,0.4925255704169945,0.5074744295830055
160,Rhode Island,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9,16.0,28.3,28.6,41.1,30.8,53.3,50.6,34.6,31.5,37.7,39.7,70.4,-7.80,N/A,0.49229338983410087,0.5077066101658992
161,Charleston,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2,16.4,26.5,28.3,34.6,26.5,51.8,51.4,35.5,32.1,40.0,39.7,70.2,-4.60,N/A,0.4922880954926119,0.5077119045073882
162,Murray St.,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9,17.3,29.1,26.4,41.2,35.5,48.6,52.6,33.6,32.1,40.1,32.1,64.7,-10.70,N/A,0.4920485846007627,0.5079514153992374
163,Milwaukee,Horz,32,21,106.0,106.3,0.4931,51.4,51.5,19.4,18.3,39.8,26.6,38.0,32.4,53.1,52.2,31.9,33.6,31.5,38.6,68.6,-7.00,N/A,0.4918191958908831,0.5081808041091169
164,Appalachian St.,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9,14.8,27.6,29.6,35.1,22.2,48.7,47.0,34.0,29.8,41.1,40.1,63.1,-9.50,N/A,0.4915327731486365,0.5084672268513636
165,Florida Gulf Coast,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2,14.3,30.0,26.5,23.1,29.5,54.1,48.9,35.7,35.1,38.4,44.0,65.2,-9.20,N/A,0.49090188227099185,0.5090981177290081
166,East Tennessee St.,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1,18.9,35.7,29.8,33.2,34.3,48.9,49.5,34.7,34.2,41.7,41.1,65.0,-9.30,N/A,0.4908617360120252,0.5091382639879748
167,Towson,CAA,33,22,106.0,106.8,0.4801,47.9,50.8,14.5,17.3,35.3,28.0,28.4,30.7,46.7,50.7,33.4,34.1,37.2,38.8,63.5,-5.90,N/A,0.4906463968293873,0.5093536031706126
168,Nicholls St.,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35.0,30.1,36.8,37.6,68.1,-7.50,N/A,0.4908727386243701,0.5091272613756299
169,Winthrop,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7,18.7,31.2,31.5,47.7,37.1,55.0,50.6,33.8,35.2,38.3,37.9,72.6,-6.20,N/A,0.49067080032754007,0.5093291996724598
170,UNC Greensboro,SC,32,20,105.4,106.2,0.4780,50.7,47.8,15.3,16.4,31.1,30.1,29.8,34.0,48.0,48.7,36.2,31.0,42.4,43.1,63.7,-7.70,N/A,0.4906357404925959,0.509364259507404
171,Marshall,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5,16.8,33.0,29.6,34.8,40.9,51.0,49.7,32.3,32.2,39.6,32.8,68.6,-8.80,N/A,0.4901699952395994,0.5098300047604005
172,Boston College,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3,15.5,28.8,30.0,31.5,37.1,47.5,51.3,34.5,35.2,33.0,35.9,66.7,-9.80,N/A,0.49016108167813144,0.5098389183218686
173,Cleveland St.,Horz,33,21,102.6,103.6,0.4700,49.3,50.6,18.3,22.3,34.5,34.1,31.0,38.1,49.6,49.8,32.5,34.5,32.7,40.4,65.5,-7.80,N/A,0.49010145776866165,0.5098985422313383
174,Lamar,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19.0,17.7,35.5,31.8,29.0,34.8,44.3,47.9,35.6,31.4,32.8,39.1,65.3,-7.40,N/A,0.4898236900073994,0.5101763099926006
175,Purdue Fort Wayne,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8,20.1,22.0,32.8,29.1,30.0,54.0,56.2,37.1,32.6,45.6,40.0,69.6,-8.60,N/A,0.48952142633719115,0.5104785736628089
176,Dartmouth,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2,13.8,22.8,24.9,30.3,23.2,49.8,52.1,33.9,29.6,46.5,38.5,70.7,-10.60,N/A,0.48931354706239216,0.510686452937608
177,Eastern Kentucky,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8,17.8,32.4,33.2,26.0,31.8,47.7,52.1,34.9,35.5,42.2,37.3,67.6,-8.70,N/A,0.48934765459762897,0.5106523454023711
178,Cal Poly,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7,19.1,27.6,33.2,26.8,32.4,56.0,54.3,36.3,34.4,51.1,39.9,74.4,-11.50,N/A,0.4888804745134065,0.5111195254865936
179,Rice,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8,14.0,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,38.8,36.9,65.4,-14.20,N/A,0.48879199467016504,0.511208005329835
180,southern-illinois-edwardsville,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3,15.2,30.3,28.0,34.2,33.7,51.0,51.5,35.1,36.1,33.6,39.8,67.8,-12.90,N/A,0.48878501027706495,0.511214989722935
181,UTSA,Amer,31,12,107.0,108.8,0.4507,49.7,53.3,15.7,20.6,27.0,35.5,29.0,43.9,46.1,53.2,36.1,35.7,44.1,37.9,69.7,-12.80,N/A,0.4883564939704575,0.5116435060295426
182,East Carolina,Amer,33,19,106.3,108.2,0.4490,48.4,51.7,15.6,17.4,33.8,31.2,35.2,31.6,49.3,48.5,31.2,38.4,35.2,35.3,66.5,-8.90,N/A,0.4880982419491127,0.5119017580508872
183,Portland St.,BSky,32,19,100.8,102.7,0.4483,50.5,50.0,18.4,19.6,33.4,30.4,34.3,34.9,51.7,51.6,32.0,31.7,31.7,39.1,68.2,-9.30,N/A,0.48785896029373216,0.5121410397062678
184,Miami FL,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16.0,15.0,28.2,30.8,26.4,28.8,55.1,55.9,31.3,39.7,38.5,39.9,67.4,-13.50,N/A,0.48790372864446935,0.5120962713555306
185,Drexel,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6,14.4,33.0,30.1,24.2,28.2,51.9,48.1,35.0,31.6,37.1,35.4,62.9,-11.70,N/A,0.48774720679634426,0.5122527932036557
186,Ohio,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9,17.8,23.9,29.0,33.5,36.4,53.9,50.4,35.0,37.6,40.1,32.6,70.3,-11.80,N/A,0.4878717650471271,0.5121282349528729
187,Montana St.,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,43.0,32.0,65.9,-12.00,N/A,0.48779692729509533,0.5122030727049046
188,South Carolina St.,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9,22.8,35.7,32.7,42.9,47.0,50.2,51.8,34.7,31.1,33.0,34.1,69.1,-9.20,N/A,0.4876917599155206,0.5123082400844794
189,Wyoming,MWC,32,12,103.1,105.2,0.4430,50.3,51.0,19.9,15.8,30.0,27.2,30.4,41.1,49.5,51.7,34.4,33.3,40.7,37.3,64.5,-10.80,N/A,0.48748664975761846,0.5125133502423814
190,Jacksonville,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3,18.7,35.3,30.5,28.2,34.5,47.3,50.0,37.0,34.6,33.9,38.2,67.3,-7.50,N/A,0.486668530849668,0.513331469150332
191,Illinois Chicago,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5,15.8,30.0,27.9,35.1,31.6,51.1,51.6,34.0,34.4,39.4,35.3,69.0,-8.40,N/A,0.4866676157045611,0.5133323842954389
192,Queens,ASun,33,19,105.9,108.5,0.4320,52.3,51.7,18.0,16.0,31.1,28.7,33.7,32.1,52.6,51.4,34.6,34.8,44.2,37.8,68.4,-8.60,N/A,0.4864645913180541,0.513535408681946
193,Oakland,Horz,34,16,106.3,108.9,0.4310,50.1,51.4,18.0,16.2,34.1,32.6,31.7,27.8,53.2,49.7,30.6,35.9,42.3,41.0,63.6,-11.20,N/A,0.4864871187702097,0.5135128812297903
194,Central Connecticut,NEC,32,25,99.0,101.5,0.4277,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49.0,32.9,30.6,34.8,42.0,65.5,-4.70,N/A,0.48629371123221243,0.5137062887677876
195,norfolk-state,MEAC,34,24,106.2,109.0,0.4254,52.4,49.7,18.3,18.6,32.8,33.8,39.0,34.9,54.5,48.9,31.3,33.9,27.7,42.7,66.3,-5.30,16,0.48602271281752113,0.5139772871824789
196,Northeastern,CAA,32,17,103.9,106.9,0.4180,51.1,50.3,18.6,18.2,31.4,31.4,28.0,30.3,51.3,49.2,33.7,34.9,34.8,34.7,67.4,-11.00,N/A,0.48541292421407556,0.5145870757859243
197,Southeast Missouri St.,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4,19.0,24.0,28.7,28.9,42.8,51.1,48.8,34.5,30.0,36.0,31.6,68.8,-8.70,N/A,0.48524722872427767,0.5147527712757224
198,Pepperdine,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1,15.3,27.7,30.0,31.6,27.2,48.9,53.3,34.0,34.2,34.7,38.9,69.0,-12.40,N/A,0.48511459758710457,0.5148854024128954
199,Merrimack,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33.0,31.0,42.9,36.3,64.4,-9.90,N/A,0.4850139074658934,0.5149860925341065
200,Abilene Christian,WAC,32,16,98.0,101.0,0.4146,46.7,51.4,20.7,24.0,30.0,31.5,37.2,51.3,47.8,52.6,28.9,32.6,25.3,32.5,69.1,-10.50,N/A,0.4849912643387381,0.5150087356612619
201,Brown,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1,15.7,30.1,30.7,28.0,29.1,52.1,49.2,33.1,32.9,40.5,37.4,65.7,-8.70,N/A,0.4848367500060508,0.5151632499939492
202,South Florida,Amer,32,13,102.3,105.5,0.4110,49.7,49.7,16.2,18.3,27.7,33.2,34.9,36.7,51.1,49.6,31.6,33.3,37.6,37.5,68.2,-12.50,N/A,0.48482935149707806,0.5151706485029219
203,Indiana St.,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5,15.8,26.2,27.0,35.9,38.8,56.6,54.5,35.0,35.9,50.1,38.0,72.3,-12.50,N/A,0.4839090280320599,0.5160909719679401
204,Hampton,CAA,33,17,103.3,107.0,0.3979,47.5,52.6,16.0,18.8,34.0,28.7,30.3,43.6,46.9,53.3,32.4,34.2,36.7,35.7,65.5,-11.60,N/A,0.4837328920832311,0.5162671079167689
205,Idaho St.,BSky,30,15,105.8,109.8,0.3965,47.8,54.1,16.3,17.9,38.3,25.9,34.4,32.7,48.3,53.0,31.2,37.3,36.6,37.7,65.8,-10.50,N/A,0.48325377703904654,0.5167462229609535
206,Princeton,Ivy,30,19,103.2,107.1,0.3955,51.5,53.4,15.2,17.3,26.2,24.2,24.6,31.7,50.1,53.5,35.3,35.5,48.7,40.8,66.6,-6.30,N/A,0.48325774389655507,0.5167422561034449
207,Missouri St.,MVC,32,9,101.7,105.6,0.3947,50.9,54.7,20.7,19.1,32.0,28.4,34.3,38.5,49.1,55.0,36.0,36.1,37.0,39.4,63.8,-17.30,N/A,0.48312365965933146,0.5168763403406684
208,Southeastern Louisiana,Slnd,32,18,104.1,108.1,0.3932,49.2,51.4,17.4,18.8,30.9,29.4,34.7,36.5,49.5,51.9,32.4,33.7,31.6,42.2,66.9,-9.60,N/A,0.48310526046566454,0.5168947395343355
209,La Salle,A10,33,14,103.3,107.3,0.3921,46.1,52.6,15.5,16.7,30.5,29.5,31.4,30.0,44.5,54.5,32.8,33.2,33.2,41.5,68.6,-11.60,N/A,0.4830337114741216,0.5169662885258783
210,Texas St.,SB,32,16,108.1,112.4,0.3899,50.7,49.9,18.1,16.1,35.2,31.5,36.0,41.6,49.3,47.4,36.4,36.1,27.8,36.4,65.9,-11.70,N/A,0.48278002348600185,0.5172199765139982
211,Quinnipiac,MAAC,33,20,101.8,105.9,0.3899,48.4,49.5,17.9,17.1,33.5,26.0,31.1,28.3,50.7,46.7,29.8,36.1,38.0,37.1,71.5,-9.30,N/A,0.4826606822724439,0.517339317727556
212,Massachusetts,A10,32,12,101.6,105.7,0.3891,45.1,49.8,16.1,17.5,34.3,31.0,34.0,36.6,46.6,49.7,28.0,33.2,32.2,39.9,70.4,-13.40,N/A,0.48264165289983685,0.517358347100163
213,Youngstown St.,Horz,34,21,102.3,106.4,0.3879,49.8,48.8,17.6,18.0,29.3,31.2,36.4,35.8,52.1,48.1,31.3,33.5,46.2,32.8,69.2,-9.20,N/A,0.48270793666586764,0.5172920633341324
214,Bucknell,Pat,33,18,103.4,107.7,0.3856,53.8,50.3,18.6,17.0,26.0,28.0,36.7,35.4,54.4,49.0,35.3,34.7,41.0,40.6,67.4,-10.30,N/A,0.48234619944573154,0.5176538005542685
215,Southern,SWAC,32,20,98.5,102.7,0.3836,47.2,49.2,18.5,21.1,34.4,28.5,38.1,42.3,47.4,48.2,31.2,33.8,33.3,39.4,68.3,-7.30,N/A,0.48209378237329215,0.5179062176267079
216,Fordham,A10,33,12,106.3,110.9,0.3810,48.6,52.8,18.4,16.7,31.5,30.6,32.8,39.2,49.1,52.6,32.0,35.5,41.5,31.8,69.5,-14.00,N/A,0.4819419689254264,0.5180580310745737
217,Seton Hall,BE,32,7,97.5,101.7,0.3809,44.7,54.6,19.1,22.2,31.2,31.8,32.9,39.6,43.9,54.5,31.2,36.6,30.5,44.4,64.4,-13.20,N/A,0.48198907854680706,0.5180109214531929
218,SIU Edwardsville,OVC,33,22,101.3,105.7,0.3796,48.9,47.5,17.1,17.3,31.8,29.1,33.1,33.2,47.8,46.3,34.0,33.0,36.3,38.6,65.8,-7.80,16,0.4819033013831566,0.5180966986168434
219,Valparaiso,MVC,34,15,105.1,109.8,0.3789,47.7,53.7,14.0,17.1,26.5,28.5,33.6,35.4,47.3,54.2,32.3,35.2,38.4,36.0,67.9,-13.00,N/A,0.4815962685999051,0.5184037314000949
220,Wright St.,Horz,33,15,108.5,113.3,0.3785,56.3,53.2,17.8,14.2,28.0,27.9,27.0,34.5,55.3,52.2,38.6,36.7,37.8,36.0,67.3,-13.80,N/A,0.48171092805293636,0.5182890719470635
221,William & Mary,CAA,32,17,106.4,111.2,0.3761,53.7,53.5,18.1,17.6,26.2,30.2,35.6,35.5,55.8,54.4,34.5,34.8,51.5,41.6,71.4,-10.70,N/A,0.4815022583611412,0.5184977416388589
222,Central Michigan,MAC,31,14,104.7,109.4,0.3754,49.8,53.1,17.6,18.2,32.1,29.1,35.8,31.3,51.2,52.5,31.3,35.9,33.3,43.9,67.2,-11.50,N/A,0.48155544387723614,0.5184445561227637
223,Campbell,CAA,32,15,101.2,105.9,0.3724,50.0,52.4,15.8,18.8,24.6,27.7,29.7,29.9,51.5,55.8,31.9,31.1,41.8,36.8,65.8,-12.70,N/A,0.4811847782908124,0.5188152217091876
224,Richmond,A10,32,10,103.5,108.4,0.3720,48.4,52.7,15.4,15.8,19.3,27.7,29.7,37.1,49.7,52.4,31.2,35.4,45.6,48.6,63.8,-15.00,N/A,0.4809700910852282,0.5190299089147719
225,Northwestern St.,Slnd,32,16,102.0,107.0,0.3667,48.7,49.8,20.2,17.4,33.1,32.6,32.2,33.1,46.5,46.8,35.2,36.2,35.7,39.7,63.8,-9.70,N/A,0.48057079636027006,0.51942920363973
226,UNC Asheville,BSth,32,21,107.1,112.3,0.3666,52.0,53.4,14.8,18.0,29.7,34.1,34.4,40.1,52.4,53.8,34.2,35.2,35.0,38.9,67.8,-6.50,N/A,0.48068191350470074,0.5193180864952992
227,Hofstra,CAA,33,15,97.8,102.5,0.3662,48.9,45.9,17.6,16.4,25.8,28.6,25.3,38.0,48.1,42.6,33.2,33.9,42.3,40.4,63.6,-13.50,N/A,0.4807999038758302,0.5192000961241698
228,Elon,CAA,32,17,106.0,111.3,0.3627,50.2,48.1,19.0,13.3,36.3,31.4,38.8,24.7,50.8,47.1,32.8,32.9,41.7,43.5,64.9,-11.00,N/A,0.48033761749472476,0.5196623825052753
229,UMKC,Sum,33,13,100.5,105.5,0.3624,48.4,51.2,18.6,17.1,32.8,29.7,30.9,35.2,47.5,53.6,33.1,31.8,44.0,40.8,64.3,-14.80,N/A,0.4803967608553724,0.5196032391446276
230,Longwood,BSth,32,18,105.0,110.3,0.3608,51.3,55.9,18.0,20.7,32.1,29.6,45.4,38.3,52.3,59.8,32.9,33.7,33.9,41.6,68.9,-9.80,N/A,0.4802244408157898,0.5197755591842103
231,Hawaii,BW,31,15,102.1,107.4,0.3606,50.6,49.5,20.7,13.1,31.0,24.9,39.9,33.7,53.1,48.0,31.0,35.0,37.4,32.4,65.8,-11.00,N/A,0.4798840132264565,0.5201159867735435
232,Tennessee St.,OVC,33,17,102.9,108.2,0.3602,51.3,48.8,21.1,17.4,33.8,30.3,41.4,39.3,52.5,48.1,32.6,33.4,33.6,35.9,70.5,-13.00,N/A,0.4799797920187415,0.5200202079812584
233,Vermont,AE,33,21,99.5,104.7,0.3577,49.0,48.8,17.3,15.7,26.2,25.8,29.8,27.1,49.5,48.3,32.3,33.0,43.5,38.6,62.5,-8.20,N/A,0.47980064474631895,0.5201993552536811
234,Maine,AE,34,20,99.0,104.2,0.3572,51.6,50.4,15.5,21.9,21.8,32.3,28.2,29.0,50.6,50.7,35.7,33.3,33.0,36.2,65.9,-10.30,N/A,0.4797380460277281,0.5202619539722719
235,Delaware,CAA,36,16,108.9,114.6,0.3563,55.1,52.2,16.6,15.5,22.4,32.5,30.0,32.9,54.1,51.9,37.7,35.3,39.9,34.1,70.2,-15.20,N/A,0.47978160074995574,0.5202183992500443
